Year,level_1,Total Licensed Food Establishments
1993,Total Licensed Food Establishments,20642
1994,Total Licensed Food Establishments,19854
1995,Total Licensed Food Establishments,20245
1996,Total Licensed Food Establishments,17547
1997,Total Licensed Food Establishments,22234
1998,Total Licensed Food Establishments,
1999,Total Licensed Food Establishments,24262
2000,Total Licensed Food Establishments,24514
2001,Total Licensed Food Establishments,25162
2002,Total Licensed Food Establishments,25420
2003,Total Licensed Food Establishments,
2004,Total Licensed Food Establishments,26082
2005,Total Licensed Food Establishments,26523
2006,Total Licensed Food Establishments,
2007,Total Licensed Food Establishments,26969
2008,Total Licensed Food Establishments,27811
2009,Total Licensed Food Establishments,
2010,Total Licensed Food Establishments,29509
2011,Total Licensed Food Establishments,30291
2012,Total Licensed Food Establishments,30691
2013,Total Licensed Food Establishments,
2014,Total Licensed Food Establishments,32166
2015,Total Licensed Food Establishments,
2016,Total Licensed Food Establishments,34032
2017,Total Licensed Food Establishments,35169
