Year,Total Greenhouse Gas Emissions (Mt CO2-Equivalent),  Carbon Dioxide (CO2) (Mt CO2-Equivalent),  Methane (CH4) (Mt CO2-Equivalent),  Nitrous Oxide (N2O) (Mt CO2-Equivalent),  Hydrofluorocarbons (HFCs) (Mt CO2-Equivalent),  Perfluorocarbons (PFCs) (Mt CO2-Equivalent),  Sulphur Hexafluoride (SF6) (Mt CO2-Equivalent),  Nitrogen Trifluoride (NF3) (Mt CO2-Equivalent),% Of Total GHG Emissions - Carbon Dioxide (CO2) (Per Cent),% Of Total GHG Emissions - Methane (CH4) (Per Cent),% Of Total GHG Emissions - Nitrous Oxide (N2O) (Per Cent),% Of Total GHG Emissions - Hydrofluorocarbons (HFCs) (Per Cent),% Of Total GHG Emissions - Perfluorocarbons (PFCs) (Per Cent),% Of Total GHG Emissions - Sulphur Hexafluoride (SF6) (Per Cent),% Of Total GHG Emissions - Nitrogen Trifluoride (NF3) (Per Cent)
2021,53.7,50.1,0.1,0.6,0.5,1.8,0.1,0.5,93.3,0.2,1.1,1,3.3,0.2,0.9
2020,49.7,,0.1,0.6,0.5,1.3,0.1,0.4,94,0.2,1.1,1,2.7,0.2,0.8
2019,51.9,49,,0.6,0.4,1.4,,0.4,94.3,0.2,1.1,0.9,2.6,0.2,
2018,53.3,50.3,0.1,0.5,0.5,1.4,0.1,0.4,94.3,0.2,0.9,1,2.7,0.2,0.7
2017,53,50.1,0.1,0.4,,1.4,0.1,0.4,,0.2,0.8,1,2.6,0.2,0.7
2016,51.5,49.1,,,0.5,1.2,0.1,0.2,95.2,0.2,0.7,0.9,2.4,0.2,0.4
2015,51.9,49.4,0.1,,0.4,1.3,0.1,0.2,95.4,0.2,0.6,,2.5,0.2,
2014,50,,0.1,0.3,0.4,1.3,0.2,0.2,95.2,0.2,0.6,0.7,2.5,0.4,0.3
2013,49.3,47,0.1,0.3,0.4,1.2,0.1,,,0.3,0.6,,2.5,0.3,0.3
2012,47.9,,0.1,0.3,0,1.2,0.1,0.1,96.1,0.3,0.6,0.1,2.5,0.2,0.2
2011,48.9,47,0.1,0.3,0,1.3,,,96,0.3,0.6,0.1,2.6,,0.2
2010,46.2,44.4,0.2,0.3,0,1.1,0.1,0.1,96.2,0.3,0.6,0.1,2.4,0.2,0.2
2009,42.1,40.8,0.2,0.3,0,0.7,0.1,0.1,96.8,0.5,0.7,0.1,1.6,0.2,0.1
2008,41.3,40.2,0.2,0.2,0,0.6,0,0,97.4,0.6,,0,1.4,0,0
2007,42.1,41.1,0.2,0.2,0,,0,0,97.5,0.6,0.6,0,1.3,0,0
2006,,40.6,0.2,0.3,0,1.1,0.1,0.3,95.2,0.5,,0.1,2.6,0.1,0.7
2005,41.4,39.6,0.2,0.3,0,1,0,0.2,95.6,,0.7,0.1,2.4,0.1,0.6
2004,42.6,41,0.2,0.3,0,0.8,0,0.2,96.3,0.6,0.7,0,1.9,0.1,0.4
2003,41.3,,0.3,0.3,0,0.8,0,0.2,96,0.6,0.8,0.1,2,0.1,0.4
2002,41.5,40.3,0.2,0.3,0,0.5,0,0.1,97.1,0.6,0.7,0.1,1.3,0.1,0.2
2001,39.8,38.8,0.2,0.3,0,0.4,0,0,97.4,0.6,0.7,0,1.1,0.1,0.1
2000,39,37.9,0.2,0.3,0,0.5,0,0.1,97.1,0.6,0.7,0,1.3,0.1,0.2
