Year,Total Generated (Tonnes),  Construction Debris (Tonnes),  Ferrous Metal (Tonnes),  Non-Ferrous Metal (Tonnes),  Used Slag (Tonnes),  Scrap Tyres (Tonnes),  Horticultural (Tonnes),  Wood (Tonnes),  Paper/Cardboard (Tonnes),  Glass (Tonnes),  Food (Tonnes),  Ash And Sludge (Tonnes),  Textile/Leather (Tonnes),  Plastic (Tonnes),  Others (Tonnes),Total Recycled (Tonnes),  Construction Debris (Tonnes),  Ferrous Metal (Tonnes),  Non-Ferrous Metal (Tonnes),  Used Slag (Tonnes),  Scrap Tyres (Tonnes),  Horticultural (Tonnes),  Wood (Tonnes),  Paper/Cardboard (Tonnes),  Glass (Tonnes),  Food (Tonnes),  Ash And Sludge (Tonnes),  Textile/Leather (Tonnes),  Plastic (Tonnes),  Others (Tonnes),Total Disposed (Tonnes),  Construction Debris (Tonnes),  Ferrous Metal (Tonnes),  Non-Ferrous Metal (Tonnes),  Used Slag (Tonnes),  Scrap Tyres (Tonnes),  Horticultural (Tonnes),  Wood (Tonnes),  Paper/Cardboard (Tonnes),  Glass (Tonnes),  Food (Tonnes),  Ash And Sludge (Tonnes),  Textile/Leather (Tonnes),  Plastic (Tonnes),  Others (Tonnes),Recycling Rate (Per Cent),  Construction Debris (Per Cent),  Ferrous Metal (Per Cent),  Non-Ferrous Metal (Per Cent),  Used Slag (Per Cent),  Scrap Tyres (Per Cent),  Horticultural (Per Cent),  Wood (Per Cent),  Paper/Cardboard (Per Cent),  Glass (Per Cent),  Food (Per Cent),  Ash And Sludge (Per Cent),  Textile/Leather (Per Cent),  Plastic (Per Cent),  Others (Per Cent)
2022,7385000,,1338000,92000,169000,26000,221000,419000,1064000,73000,813000,241000,254000,1001000,249000,4188000,1419000,1331000,91000,166000,25000,188000,298000,394000,11000,146000,27000,5000,57000,30000,3197000,5000,7000,2000,2000,1000,32000,121000,671000,63000,667000,213000,249000,944000,219000,57,99,99,98,99,95,85,71,37,14,18,11,2,6,na
2021,6944000,1013000,1312000,88000,182000,27000,332000,310000,1136000,74000,817000,249000,,982000,233000,3826000,1011000,1306000,87000,181000,26000,277000,234000,437000,9000,154000,22000,7000,58000,18000,3118000,2000,6000,1000,1000,1000,55000,76000,699000,65000,663000,227000,182000,924000,214000,55,99,99,98,99,95,83,76,39,13,19,9,4,6,8
2020,5880000,825000,934000,75000,106000,,313000,304000,1144000,66000,665000,228000,137000,868000,193000,3040000,822000,930000,73000,104000,22000,249000,195000,432000,7000,126000,16000,6000,36000,21000,2841000,3000,4000,2000,2000,,64000,109000,712000,58000,539000,211000,131000,832000,173000,52,99,99,98,99,95,80,64,38,11,19,7,4,4,11
2019,7234000,,1278000,126000,,33000,400000,438000,1011000,,744000,252000,168000,930000,210000,4247000,1434000,1270000,124000,127000,31000,293000,289000,449000,11000,136000,25000,,37000,15000,,6000,8000,2000,2000,2000,107000,149000,562000,,,227000,162000,893000,195000,59,,99,99,98,94,73,66,44,15,18,10,4,4,7
2018,7695000,1624000,1269000,171000,181000,32000,521000,320000,1054000,64000,763000,240000,220000,949000,286000,4726000,1618000,,170000,179000,29000,428000,227000,586000,12000,126000,25000,14000,41000,11000,2969000,7000,,2000,2000,3000,93000,93000,467000,52000,637000,215000,206000,909000,274000,61,99,99,99,99,90,82,71,56,19,17,10,6,4,4
2017,7704300,1609300,1378800,,272500,35900,328300,424100,,71300,809800,243400,150800,,326400,4724300,,1371000,92200,269400,33000,,326800,568800,12400,133000,28600,9600,51800,7100,2980000,9400,7800,1500,,2900,107600,97300,576000,58900,676800,214800,141200,763400,319300,61,99,99,98,99,92,67,77,50,17,16,12,6,6,2
2016,7814200,1595400,,97200,251100,32700,320500,530700,1183100,72300,791000,227300,150700,822200,382500,4769000,1585700,1351500,95900,247000,29700,209000,411600,607100,,111100,28300,10900,59500,7000,3045200,9700,6000,1300,4100,3000,111500,119100,576000,57600,679900,199000,139800,762700,375500,61,99,99,99,98,91,65,78,51,20,14,13,7,7,2
2015,7673500,1411800,1348500,180000,369900,35500,362000,370600,,75200,785500,,156700,824600,365000,4649700,1402900,1333300,160400,365800,32800,237200,293700,603700,14600,104100,25200,12500,57800,5700,3023800,8900,15200,19600,4100,2700,124800,76900,588500,60600,681400,170800,144200,766800,359300,61,99,99,89,99,92,66,79,51,19,13,13,8,7,2
2014,7514500,1269700,1445900,118400,366300,26200,278300,367900,,79500,788600,148500,158600,869000,360100,,1260000,1388900,94700,361200,23100,163000,293400,646500,,101400,21700,16800,80000,4700,3043400,9700,57000,23700,5100,3100,115300,74500,590800,63800,687200,126800,141800,789000,355600,60,99,96,80,99,88,59,80,52,20,13,15,11,9,1
2013,7851500,1695300,1416000,,353700,21600,252600,332400,1261100,73500,796000,190600,156600,832200,334800,4825900,,1369200,114000,344800,19000,120900,254600,679400,14600,100000,14200,16300,91100,,3025600,12300,46800,21100,8900,2600,131700,77800,581700,58900,696000,176400,140300,741100,330000,61,99,97,84,97,88,48,77,54,20,13,7,10,11,1
2012,7269503,1291832,1385938,122467,367863,18478,247791,343737,,74879,703188,160217,,803395,338425,4335569,1282683,1331170,97271,358014,16139,108012,235988,696742,19477,85083,0,18266,82139,4585,,9149,54768,25196,9849,2339,139779,107749,555285,55402,618105,160217,141000,721256,333840,60,99,96,79,97,87,44,69,56,26,12,0,11,10,1
